"cma","year","intl_students"
"Hamilton",2016,5073
"Hamilton",2017,6573
"Hamilton",2018,7578
"Hamilton",2019,8913
"Hamilton",2020,8859
"Hamilton",2021,8832
"Hamilton",2022,10842
"Hamilton",2023,13638
"Kitchener-Cambridge-Waterloo",2016,10860
"Kitchener-Cambridge-Waterloo",2017,12927
"Kitchener-Cambridge-Waterloo",2018,16764
"Kitchener-Cambridge-Waterloo",2019,20937
"Kitchener-Cambridge-Waterloo",2020,19452
"Kitchener-Cambridge-Waterloo",2021,22758
"Kitchener-Cambridge-Waterloo",2022,25854
"Kitchener-Cambridge-Waterloo",2023,39714
"London",2016,6810
"London",2017,8079
"London",2018,9792
"London",2019,12030
"London",2020,11667
"London",2021,12354
"London",2022,14697
"London",2023,19041
"Ottawa-Gatineau",2016,12111
"Ottawa-Gatineau",2017,13716
"Ottawa-Gatineau",2018,15672
"Ottawa-Gatineau",2019,18003
"Ottawa-Gatineau",2020,17775
"Ottawa-Gatineau",2021,18549
"Ottawa-Gatineau",2022,20886
"Ottawa-Gatineau",2023,24360
"St. Catharines-Niagara",2016,3708
"St. Catharines-Niagara",2017,4608
"St. Catharines-Niagara",2018,6051
"St. Catharines-Niagara",2019,6048
"St. Catharines-Niagara",2020,4770
"St. Catharines-Niagara",2021,6123
"St. Catharines-Niagara",2022,11214
"St. Catharines-Niagara",2023,15759
"Toronto",2016,53343
"Toronto",2017,62979
"Toronto",2018,71955
"Toronto",2019,80235
"Toronto",2020,77160
"Toronto",2021,81162
"Toronto",2022,92361
"Toronto",2023,105729
