"city","term","Estimate","Est.Error","Q2.5","Q97.5"
"Hamilton","Intercept",4.72095339384701,0.0308319601440293,4.66010689001461,4.78231071047188
"Hamilton","housing_starts_z",0.0560791884887072,0.059799274633127,-0.0608300580308516,0.169596482853371
"Hamilton","policy_rate_z",0.0757368189552563,0.00483071886992227,0.0662606330749272,0.0852849564003379
"Hamilton","study_permit_inflow_proxy_z",0.0153873534357914,0.00628828068396565,0.0031031272543883,0.0277528469737029
"Kitchener-Cambridge-Waterloo","Intercept",4.8407200764063,0.0243654323098572,4.79229663232939,4.88778868579995
"Kitchener-Cambridge-Waterloo","housing_starts_z",0.0631200038625366,0.0520842234532942,-0.0429812414718762,0.160121148570959
"Kitchener-Cambridge-Waterloo","policy_rate_z",0.0757368189552563,0.00483071886992227,0.0662606330749272,0.0852849564003379
"Kitchener-Cambridge-Waterloo","study_permit_inflow_proxy_z",0.0153873534357914,0.00628828068396565,0.0031031272543883,0.0277528469737029
"London","Intercept",4.85897285971071,0.0328523873722695,4.79337766451575,4.92045870664952
"London","housing_starts_z",0.110285409012814,0.0663367608687251,-0.0219066297685461,0.235756296730366
"London","policy_rate_z",0.0757368189552563,0.00483071886992227,0.0662606330749272,0.0852849564003379
"London","study_permit_inflow_proxy_z",0.0153873534357914,0.00628828068396565,0.0031031272543883,0.0277528469737029
"Ottawa-Gatineau","Intercept",4.91395958842377,0.0130679342142891,4.88815920315324,4.93915022269828
"Ottawa-Gatineau","housing_starts_z",0.243970802885102,0.0446743577667693,0.155979087268786,0.330655994557141
"Ottawa-Gatineau","policy_rate_z",0.0757368189552563,0.00483071886992227,0.0662606330749272,0.0852849564003379
"Ottawa-Gatineau","study_permit_inflow_proxy_z",0.0153873534357914,0.00628828068396565,0.0031031272543883,0.0277528469737029
"St. Catharines-Niagara","Intercept",4.81726245830709,0.0521208184631087,4.71857791489093,4.92296159134968
"St. Catharines-Niagara","housing_starts_z",0.137383138025795,0.093771443081699,-0.0415510522601788,0.326770342545856
"St. Catharines-Niagara","policy_rate_z",0.0757368189552563,0.00483071886992227,0.0662606330749272,0.0852849564003379
"St. Catharines-Niagara","study_permit_inflow_proxy_z",0.0153873534357914,0.00628828068396565,0.0031031272543883,0.0277528469737029
"Toronto","Intercept",4.66571702159799,0.0278869679991307,4.61112854062684,4.72094065886441
"Toronto","housing_starts_z",-0.00629883736888787,0.0124505841681076,-0.0308448945389122,0.0190405816507398
"Toronto","policy_rate_z",0.0757368189552563,0.00483071886992227,0.0662606330749272,0.0852849564003379
"Toronto","study_permit_inflow_proxy_z",0.0153873534357914,0.00628828068396565,0.0031031272543883,0.0277528469737029
